Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,r_squared_surge,a_sway,b_sway,c_sway,r_squared_sway,a_heave,b_heave,c_heave,r_squared_heave,a_roll,b_roll,c_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,r_squared_yaw
0.3,0.1,-0.033333333,0.002265634,-0.10477937,1.249590945,0.964625532,1.49E-06,-5.98E-05,0.000590444,0.93417435,-0.000912795,-0.041160676,1.158900891,0.853970767,0.00261965,-0.100813854,0.955404523,0.97971736,-4.846784881,97.02630099,-17.3980548,0.245876585,8.54E-05,-0.008995903,0.163160398,0.889503573
0.3,0.1,-0.066666667,0.002490092,-0.111273305,1.257845565,0.955597746,5.75E-07,-2.61E-05,0.000284558,0.860511479,-0.001980132,-0.024492791,1.201365525,0.548999414,0.001568659,-0.057320143,0.510251599,0.975698606,-0.716079996,8.813292204,105.02113,0.142094413,0.000228226,-0.012098143,0.157514302,0.978434033
0.3,0.1,-0.1,0.00267661,-0.111771655,1.238573601,0.918344098,3.31E-06,-0.000142836,0.001460299,0.345337533,-0.000434126,-0.052517557,1.188460788,0.84488131,0.018101344,-0.713487666,6.74588504,0.373191888,-8.503681448,165.484367,7.315643996,0.088725324,0.000295369,-0.013583937,0.165836661,0.902856779
0.3,0.1,-0.133333333,0.00246744,-0.109802648,1.24155463,0.971887313,1.58E-06,-5.46E-05,0.000457068,0.938073943,-0.000234912,-0.062632984,1.27002866,0.650760251,0.005999179,-0.191668081,1.433827817,0.969549676,-0.435749879,3.923798949,93.43752663,0.160606583,0.00031448,-0.013882467,0.158933727,0.958336448
0.3,0.1,-0.166666667,0.002768366,-0.11672318,1.244072769,0.976098908,4.09E-07,-1.93E-05,0.000216604,0.814098376,0.000639432,-0.085087407,1.357144999,0.5699654,0.004144241,-0.130879376,0.959380043,0.961178549,-0.020878532,-3.175152836,70.31388962,0.179968655,0.000342689,-0.01441006,0.154956618,0.968830378
0.3,0.15,-0.022222222,0.00302569,-0.122252313,1.242275691,0.980078036,1.16E-06,-3.89E-05,0.000311599,0.696266314,0.000701149,-0.09136583,1.442184934,0.391532603,0.006141537,-0.186728029,1.288626486,0.921648997,-0.004919543,-4.316255355,81.76104176,0.218214224,0.000363189,-0.014746705,0.15200842,0.976130221
0.3,0.15,-0.044444444,0.00329358,-0.12723362,1.230832892,0.986135211,2.08E-07,-1.05E-05,0.000121564,0.468751136,0.002489955,-0.127344757,1.468405837,0.51039738,0.020722663,-0.627955246,4.294758697,0.636168767,-0.529409177,-5.606472349,289.9765573,0.074447904,0.000388684,-0.015134806,0.148787406,0.983270895
0.3,0.15,-0.066666667,0.002766346,-0.11585265,1.253705525,0.971289225,1.34E-05,-0.000438649,0.003339083,0.392736507,0.001107866,-0.085878766,1.237973758,0.869397377,0.053637789,-1.7321706,12.99709994,0.393148877,-3.136952045,61.03398717,16.10993531,0.270782783,0.000199975,-0.010253746,0.134109993,0.909452416
0.3,0.15,-0.088888889,0.003127891,-0.124073765,1.249121357,0.975407682,7.93E-07,-3.14E-05,0.000301509,0.836322538,0.001122263,-0.091102765,1.307511616,0.685994227,0.005022663,-0.160801962,1.201216434,0.964960085,-1.224018367,18.90661112,93.57721859,0.193775709,0.00020564,-0.009262421,0.105617411,0.978907429
0.3,0.15,-0.111111111,0.0033941,-0.129887833,1.246625266,0.97673992,1.01E-06,-3.52E-05,0.000297344,0.81445563,0.001266334,-0.099359275,1.398013156,0.475791915,0.004379945,-0.137389535,0.992337036,0.951222763,-0.770876293,7.775137843,130.5535359,0.110952224,0.000218123,-0.009068382,0.095286081,0.980334753
0.3,0.2,-0.033333333,0.003638963,-0.134915927,1.242861596,0.978477605,1.53E-06,-4.70E-05,0.000330085,0.727339867,0.002635314,-0.127754045,1.429409874,0.590338848,0.014693052,-0.431150825,2.784229518,0.79693314,-0.424030271,2.599841785,103.5072073,0.178892048,0.00023399,-0.009187853,0.090826396,0.98733205
0.3,0.2,-0.066666667,0.003893178,-0.139780756,1.23577209,0.976655281,3.08E-07,-1.99E-05,0.00025634,0.167239217,0.001741293,-0.123374208,1.658307948,0.241274248,0.007653313,-0.300391281,2.81152689,0.160915562,-0.642652356,6.332491532,114.8481694,0.152760616,0.000244985,-0.009263881,0.08760163,0.987160484
0.3,0.2,-0.1,0.002823342,-0.118616577,1.256938087,0.966848619,4.59E-08,-8.55E-06,0.000143001,0.470599302,-0.002265721,-0.025900274,1.307080793,0.330447203,0.001491109,-0.051845518,0.433566429,0.975924426,-0.052665989,-3.033953683,79.0781598,0.165778162,0.00026615,-0.012481789,0.147498028,0.984362963
0.3,0.2,-0.133333333,0.00287941,-0.117790325,1.257852569,0.943582062,-3.84E-07,2.66E-06,0.000100189,0.193241657,0.00108271,-0.084672899,1.22474889,0.893993062,-0.004238801,0.026570275,1.022911154,0.24088494,-3.660531783,72.5477566,-18.7697867,0.263634645,0.000212241,-0.009548827,0.111294332,0.956513416
0.3,0.2,-0.166666667,0.002999139,-0.120821956,1.246315383,0.977703281,5.02E-06,-0.000198313,0.001865114,0.143434381,0.001218639,-0.091769091,1.280872867,0.771602148,0.021229481,-0.852894403,8.13796292,0.129589619,-2.552657508,43.23410934,107.9973539,0.11178938,0.000237035,-0.009838892,0.105980345,0.959614999
0.4,0.2,-0.0375,0.003244622,-0.126284947,1.243940369,0.979852682,1.05E-05,-0.000308999,0.00204452,0.606393143,0.001594153,-0.102871941,1.341220257,0.663724003,0.047240115,-1.380112842,8.921951961,0.563500508,-1.097268626,13.4245154,138.0628468,0.105201858,0.000259701,-0.010280734,0.103741898,0.972742503
0.4,0.2,-0.075,0.003458806,-0.130933648,1.243179086,0.98041647,3.44E-06,-0.000107217,0.000772753,0.680542888,0.001771767,-0.1098133,1.39966956,0.533487804,0.026989602,-0.797398398,5.253234343,0.701351163,-0.600142039,5.216485992,112.3200783,0.133270178,0.000212337,-0.008499935,0.086298455,0.968547356
0.4,0.2,-0.1125,0.003666518,-0.135237237,1.24176692,0.980885266,3.80E-07,-1.49E-05,0.000142135,0.620686382,0.002796184,-0.131215031,1.430149297,0.585829442,0.008170937,-0.266031333,2.027488633,0.602891888,-0.445921108,2.946070098,101.5264632,0.173202929,0.000222152,-0.008705217,0.086971617,0.936603404
0.4,0.2,-0.15,0.002713224,-0.114346994,1.25028067,0.966336608,-5.79E-07,8.80E-06,4.54E-05,0.076927727,0.001184287,-0.087385505,1.235071216,0.884230838,-0.005094727,0.07231033,0.502254387,0.13331056,-2.96042631,57.35871063,12.35808012,0.287219462,0.000182695,-0.008043114,0.091146045,0.96096712
0.4,0.2,-0.1875,0.003046894,-0.12177671,1.242000163,0.980759416,5.84E-08,-9.67E-06,0.000158372,0.497223275,0.001529633,-0.098749686,1.300037342,0.762375102,0.00121273,-0.083716446,1.112237824,0.360672474,-1.876916967,30.47078441,107.4376485,0.117034216,0.000210125,-0.008462075,0.086770157,0.965849918
0.4,0.25,-0.03,0.003286866,-0.127123156,1.239683238,0.983040728,1.13E-07,-1.17E-05,0.000177083,0.531204751,0.001864601,-0.109462811,1.368137675,0.607059112,0.003742429,-0.144454791,1.337165804,0.479068372,-1.856168965,20.82959186,265.9369971,0.06193418,0.000225405,-0.008681118,0.084796595,0.972372574
0.4,0.25,-0.06,0.003508666,-0.131947071,1.239838666,0.982676802,-2.29E-07,2.24E-06,3.91E-05,0.248935996,0.002730453,-0.128379301,1.405666238,0.637650808,0.003215503,-0.12039083,1.080261612,0.470921988,-0.382534123,1.869849329,99.28676427,0.176776957,0.000255475,-0.009442441,0.087470535,0.972782482
0.4,0.25,-0.09,0.003734366,-0.136563256,1.238074377,0.981190594,4.21E-07,-1.66E-05,0.000158731,0.307552267,0.002632777,-0.133195803,1.522717057,0.383984028,0.001201024,-0.078031275,1.000823338,0.154474412,-0.451045976,3.202952429,101.382796,0.18097789,0.000253524,-0.009262105,0.084223416,0.975887682
0.4,0.25,-0.12,0.003075374,-0.123818775,1.251947604,0.973555722,1.13E-06,-3.68E-05,0.000284512,0.611248568,-0.000602195,-0.066216748,1.442371152,0.309747018,0.001838178,-0.061083493,0.481857243,0.958748123,-0.061116241,-3.458026766,86.00987489,0.214630557,0.000356591,-0.014588167,0.152330195,0.980512076
0.4,0.25,-0.15,0.003270234,-0.12650926,1.261415765,0.950532537,-1.59E-06,1.97E-05,0.000194193,0.06747678,0.002054023,-0.104976111,1.2414959,0.911474759,-0.018659638,0.266391899,1.640896382,0.06756185,-2.333514822,44.63533621,15.36002677,0.331367408,0.000142377,-0.006295515,0.072034793,0.932252267
0.4,0.3,-0.033333333,0.003409587,-0.129829189,1.25127354,0.971425284,3.31E-06,-0.000114956,0.000951736,0.427181916,0.002186232,-0.111184661,1.291165392,0.815783339,0.014245622,-0.494738125,4.08961659,0.389551757,-1.648173723,27.81642706,71.45353159,0.210802603,0.000226726,-0.008365935,0.079433914,0.902411318
0.4,0.3,-0.066666667,0.003695066,-0.135664799,1.246350141,0.97240362,1.63E-05,-0.000474894,0.003056093,0.405198323,0.002334117,-0.117438695,1.345762074,0.680587952,0.077659097,-2.25088473,14.33628848,0.387726641,-0.969985912,13.66292229,89.2655605,0.189491706,0.000150924,-0.006151912,0.063615477,0.97544544
0.4,0.3,-0.1,0.003799058,-0.13844026,1.252093833,0.963746747,2.57E-06,-8.25E-05,0.000620234,0.575618546,0.002750539,-0.127830761,1.386267748,0.65247306,0.021023108,-0.639885615,4.420457921,0.536249638,-1.14478342,12.46740066,166.8146318,0.082089894,0.000171541,-0.006479798,0.061923771,0.981063885
0.4,0.3,-0.133333333,0.004256727,-0.145165164,1.211001426,0.939707828,7.42E-07,-2.37E-05,0.000178064,0.375765472,0.00306727,-0.137849387,1.454971514,0.505351057,0.009715701,-0.375636294,3.459476703,0.139108549,-1.432755143,15.20010097,216.206743,0.066686381,0.000132681,-0.005390314,0.054799448,0.954561911
0.4,0.3,-0.166666667,0.003188796,-0.124796008,1.253703494,0.969865215,1.01E-07,-6.39E-06,8.41E-05,0.128893051,0.002127883,-0.107495863,1.25576335,0.891880852,-0.002653039,0.015344006,0.656631853,0.158967391,-2.135076446,39.452016,35.2468738,0.27234132,0.000215408,-0.008288207,0.082630831,0.939255415
0.5,0.25,-0.032,0.003384801,-0.129214769,1.248772878,0.973929493,4.30E-07,-1.90E-05,0.000199299,0.581494254,0.002343399,-0.114672319,1.298791034,0.81376484,0.001355634,-0.084627574,1.072323664,0.365034568,-1.661399478,27.27757471,84.35513134,0.155215993,0.0001592,-0.00621868,0.062490634,0.944617549
0.5,0.25,-0.064,0.003652912,-0.134712994,1.244586193,0.974077649,3.21E-07,-1.65E-05,0.000189179,0.483616817,0.002507385,-0.120579789,1.343005878,0.70521629,0.003405912,-0.135483384,1.288882372,0.460782358,-0.925208888,12.84479741,88.51500364,0.188895502,0.000174183,-0.006688173,0.065593623,0.962544748
0.5,0.25,-0.096,0.00375778,-0.137462372,1.249906236,0.968382571,2.19E-07,-1.24E-05,0.000150975,0.579176373,0.002894364,-0.12995312,1.375663804,0.684628125,0.003789644,-0.139701282,1.233102521,0.432832128,-0.961589278,10.45181305,140.9654581,0.094922698,0.00013751,-0.005388895,0.055292647,0.883228574
0.5,0.25,-0.128,0.004243086,-0.144193956,1.200782407,0.909387801,-1.69E-08,-2.21E-06,4.75E-05,0.188235646,0.003202247,-0.138596595,1.423178664,0.579617653,0.00244127,-0.094795494,0.881187656,0.463099245,-1.800686973,19.43429172,264.6178128,0.060291165,0.000165469,-0.006142964,0.05842278,0.927595939
0.5,0.25,-0.16,0.003332389,-0.128144357,1.232976659,0.981760459,-3.75E-08,-1.02E-06,3.29E-05,0.125792381,0.001433502,-0.105813073,1.447671925,0.486625393,0.003671124,-0.112950338,0.795670083,0.935326886,-1.395856043,-33.45965131,1085.082743,0.05443671,0.000405419,-0.015757494,0.155133178,0.968901448
0.5,0.3,-0.04,0.003386555,-0.12867774,1.251008954,0.952059771,-3.46E-07,5.89E-06,1.28E-05,0.130338544,0.002224409,-0.110197554,1.266876835,0.877348732,-0.001065526,-0.000462378,0.390428983,0.241898359,-2.179987336,39.53593857,47.2170482,0.194109224,0.000177306,-0.006752973,0.066087636,0.94634855
0.5,0.3,-0.066666667,0.003391357,-0.129304557,1.246965082,0.976436412,-7.18E-08,-1.57E-06,5.46E-05,0.159826994,0.002465123,-0.117276364,1.303643274,0.811828602,-0.000771935,-0.019211131,0.620027094,0.160956821,-1.875954565,30.54041422,98.48681168,0.116540154,0.000172608,-0.006277185,0.057701342,0.951455017
0.5,0.3,-0.093333333,0.003617155,-0.133891094,1.24309331,0.975297842,-2.70E-07,3.94E-06,2.17E-05,0.193206048,0.002645326,-0.123019963,1.339761877,0.73057875,0.000669033,-0.046120909,0.608537714,0.356809153,-0.888023461,12.1593188,87.96721702,0.188506993,0.000161382,-0.006156924,0.06110392,0.926270772
0.5,0.3,-0.12,0.003695129,-0.135976905,1.246891417,0.971562193,-2.70E-07,3.94E-06,2.17E-05,0.193206048,0.002994288,-0.131370353,1.367344349,0.70998027,0.001000737,-0.058939826,0.723351236,0.21979716,-0.857060895,9.313795849,126.1206174,0.106433621,0.000202285,-0.007103169,0.062722352,0.955493972
0.5,0.3,-0.146666667,0.00405136,-0.141291325,1.215729642,0.95819071,2.11E-07,-9.23E-06,9.71E-05,0.320061257,0.003270062,-0.138826172,1.404725196,0.625242812,0.000846711,-0.057797326,0.753579681,0.159650856,-2.407260084,26.50326031,343.3361412,0.054971962,0.000165027,-0.00585737,0.052165951,0.936768043
0.5,0.35,-0.045714286,0.003645354,-0.134236155,1.25141456,0.954594957,-1.33E-07,4.16E-07,4.81E-05,0.064689214,0.002842764,-0.121723682,1.26024407,0.905904389,-0.001753074,-0.004476594,0.719060905,0.178924803,-1.509193559,26.64896691,48.85192839,0.256261282,0.00013025,-0.005223623,0.053745359,0.962251333
0.5,0.35,-0.068571429,0.003682314,-0.135275508,1.246275718,0.972115926,1.88E-07,-1.24E-05,0.000161563,0.477129903,0.002987694,-0.126586441,1.290525231,0.855515189,0.00161189,-0.09016661,1.085871345,0.353127362,-1.243689214,19.98470606,73.51437774,0.194718315,0.000107217,-0.004316632,0.044170747,0.877278451
0.5,0.35,-0.091428571,0.004060657,-0.142285762,1.235460653,0.945302822,2.69E-07,-1.52E-05,0.000183721,0.415620547,0.003079139,-0.130294495,1.321289474,0.783728075,0.003238251,-0.133473312,1.309854967,0.402099938,-1.337443917,20.37835792,95.07160729,0.121612247,6.30E-05,-0.003245817,0.039969073,0.84580355
0.5,0.35,-0.114285714,0.003989018,-0.141561083,1.240280645,0.967384164,1.04E-07,-8.96E-06,0.000127586,0.367479561,0.003244542,-0.135059968,1.348548599,0.742894114,0.004077179,-0.15035915,1.327107733,0.418422311,-0.660102881,7.740542242,89.36152492,0.179418076,0.000109746,-0.004362571,0.043928055,0.956234755
0.5,0.35,-0.137142857,0.004035364,-0.142916528,1.244218734,0.962057503,1.21E-07,-6.50E-06,7.72E-05,0.361745224,0.00347504,-0.14128236,1.379442443,0.676323263,0.00327317,-0.120657303,1.064456028,0.463755232,-0.773657879,7.829092794,125.8550295,0.099782659,0.000117384,-0.004355148,0.040593707,0.941327842
0.6,0.3,-0.044444444,0.002062805,-0.099411202,1.247217666,0.967802099,1.48E-05,-0.000457973,0.003260273,0.908927636,-0.000417132,-0.049945482,1.162677594,0.903501572,0.062639198,-1.89111309,12.9399414,0.881736326,-6.19190656,130.830174,-134.3956901,0.321474036,0.000533095,-0.02305721,0.293727799,0.855840578
