Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,d_surge,r_squared_surge,a_sway,b_sway,c_sway,d_sway,r_squared_sway,a_heave,b_heave,c_heave,d_heave,r_squared_heave,a_roll,b_roll,c_roll,d_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,d_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,d_yaw,r_squared_yaw
0.3,0.1,-0.033333333,0.000173365,-0.003562549,-0.053602073,1.164010758,0.976211981,1.06E-08,1.13E-06,-5.67E-05,0.000585214,0.934341251,0.000568592,-0.020027728,0.126687598,0.878220046,0.943390292,0.000112939,-0.001177149,-0.067474153,0.899652889,0.987384342,0.632194311,-26.09990871,283.6500357,-329.4757792,0.369888746,7.10E-06,-0.000153458,-0.006898705,0.159653402,0.890607104
0.3,0.1,-0.066666667,0.000191204,-0.003937824,-0.054829753,1.163458989,0.968718851,5.25E-08,-1.19E-06,-1.06E-05,0.000258638,0.876196318,0.000960239,-0.034261473,0.258969742,0.727351099,0.677445098,3.93E-05,0.000246415,-0.045709516,0.490835964,0.978924099,0.274976985,-9.960262994,89.98648675,-30.7190848,0.330042328,1.28E-05,-0.000200964,-0.008329427,0.151212143,0.982336973
0.3,0.1,-0.1,4.76E-05,0.001076575,-0.097721742,1.215078921,0.919221098,8.85E-07,-2.64E-05,0.000118422,0.001023415,0.410803523,0.000602473,-0.020688086,0.125332513,0.891054643,0.942808166,0.003292217,-0.092576499,0.258374751,5.120707985,0.420238763,1.405144239,-55.74185484,580.2828884,-686.3227019,0.155757682,1.42E-05,-0.000180959,-0.009401307,0.158842342,0.90720659
0.3,0.1,-0.133333333,0.000142692,-0.002329572,-0.067680074,1.171116017,0.979575569,-5.91E-08,3.57E-06,-7.21E-05,0.000486246,0.946908177,0.000881363,-0.029864592,0.197545313,0.834950821,0.786611268,-0.000299928,0.016082151,-0.280206685,1.581884687,0.993193506,0.205919551,-7.35835838,64.7112419,-8.213031909,0.366569844,2.06E-05,-0.000377495,-0.007806239,0.14877288,0.968346056
0.3,0.1,-0.166666667,0.000121228,-0.001307065,-0.080936808,1.184229741,0.981542366,4.09E-08,-9.68E-07,-7.23E-06,0.000196398,0.829569462,0.000983028,-0.032408036,0.205102495,0.871880869,0.705922478,-0.000214937,0.011369996,-0.194328754,1.065481969,0.987849079,0.084785452,-2.871197948,21.85350925,28.46022122,0.300644103,1.71E-05,-0.000232275,-0.009361297,0.146513929,0.975922568
0.3,0.15,-0.022222222,9.96E-05,-0.000323576,-0.092842404,1.193095573,0.983738277,-9.06E-08,4.21E-06,-6.56E-05,0.000356318,0.729580152,0.00118392,-0.039099897,0.258127257,0.857752265,0.510017443,-0.000482841,0.022373696,-0.329262656,1.526977102,0.992287389,0.11375661,-3.829192044,29.26469126,25.60599043,0.396832264,1.34E-05,-8.69E-05,-0.010794202,0.145398928,0.980610523
0.3,0.15,-0.044444444,5.36E-05,0.001490877,-0.111404081,1.204362269,0.987218322,3.06E-08,-8.22E-07,-1.42E-06,0.000106441,0.484299557,0.000889281,-0.027405922,0.135171024,1.02941919,0.604054675,-0.00128,0.063753748,-1.005811312,4.926620777,0.666758083,0.564109958,-19.49367156,160.9187641,11.50813556,0.167557139,7.63E-06,0.00013204,-0.012881212,0.145018879,0.984791357
0.3,0.15,-0.066666667,9.48E-05,-0.000442882,-0.087468394,1.205903937,0.974844031,5.81E-08,1.15E-05,-0.000421242,0.003309768,0.392804498,0.000527662,-0.016760024,0.072155122,0.97183077,0.951777962,-0.000163999,0.059191192,-1.781288089,13.07981812,0.393184664,0.48090768,-19.42163707,205.0651018,-226.45115,0.446059189,7.26E-06,-4.60E-05,-0.008078158,0.13044611,0.911232572
0.3,0.15,-0.088888889,6.72E-05,0.000852659,-0.103950305,1.215231677,0.977154964,5.82E-08,-1.18E-06,-1.39E-05,0.000272133,0.854026623,0.000755798,-0.024470876,0.13525767,0.926300703,0.800392879,-0.000257962,0.013757889,-0.238061318,1.331327996,0.990796972,0.365753831,-13.60931846,128.4493241,-90.90236008,0.446333282,9.92E-06,-0.000130244,-0.006291674,0.10061441,0.9842764
0.3,0.15,-0.111111111,4.56E-05,0.001851282,-0.116242257,1.223644913,0.977533897,-4.48E-08,2.52E-06,-4.86E-05,0.000319917,0.825294149,0.000960218,-0.031248937,0.188224478,0.913696782,0.586274586,-0.000262268,0.013260952,-0.215938262,1.124620012,0.989429314,0.36307498,-13.06546408,116.5155391,-52.57487901,0.274052082,6.53E-06,-3.13E-06,-0.007111518,0.091990549,0.983158215
0.3,0.2,-0.033333333,1.81E-05,0.003027618,-0.129508845,1.233755593,0.978602109,-1.61E-07,6.98E-06,-9.52E-05,0.000411234,0.827062155,0.000763097,-0.023204989,0.100792447,1.044517448,0.679618432,-0.001656491,0.070785803,-0.927267358,3.619733464,0.953761509,0.242920434,-8.649897554,75.35414021,-19.01744042,0.422948637,1.41E-06,0.000186404,-0.008766981,0.090117611,0.987476233
0.3,0.2,-0.066666667,-2.35E-05,0.004687279,-0.14680424,1.247600256,0.97686634,2.59E-07,-8.46E-06,5.76E-05,0.000125804,0.250614034,0.001386229,-0.045199746,0.291799326,0.959119142,0.323708125,0.001631594,-0.047596381,0.188268768,1.988580319,0.190577696,0.300491316,-10.81800752,96.32918131,-36.7141843,0.367544103,-1.04E-06,0.000280215,-0.009575476,0.088126384,0.987244999
