Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,d_surge,e_surge,f_surge,g_surge,r_squared_surge,a_sway,b_sway,c_sway,d_sway,e_sway,f_sway,g_sway,r_squared_sway,a_heave,b_heave,c_heave,d_heave,e_heave,f_heave,g_heave,r_squared_heave,a_roll,b_roll,c_roll,d_roll,e_roll,f_roll,g_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,d_pitch,e_pitch,f_pitch,g_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,d_yaw,e_yaw,f_yaw,g_yaw,r_squared_yaw
0.3,0.1,-0.033333333,6.77E-07,-4.89E-05,0.001320976,-0.016198025,0.087130389,-0.231379177,1.208613925,0.991951368,3.18E-10,-2.56E-08,7.90E-07,-1.16E-05,8.16E-05,-0.000277585,0.000705812,0.975759931,-6.25E-07,3.31E-05,-0.000540361,0.002156727,0.008188068,-0.047167272,1.026760458,0.975720321,1.08E-07,-7.25E-06,0.000159528,-0.000961869,-0.004992078,-0.017496205,0.840256561,0.999462377,-0.000113632,-0.013030223,1.033540091,-23.05059414,192.70557,-456.4730121,156.9110431,0.561882659,-6.95E-08,4.76E-06,-0.000119853,0.00134171,-0.006252823,0.000213728,0.162732257,0.903022476
0.3,0.1,-0.066666667,1.01E-06,-7.17E-05,0.001912295,-0.023235947,0.124590185,-0.305273137,1.227037442,0.994811656,1.54E-10,-1.24E-08,3.80E-07,-5.37E-06,3.49E-05,-0.00010338,0.000303655,0.90728604,-2.53E-07,-6.62E-06,0.000929818,-0.02174209,0.175340414,-0.430278916,1.154808084,0.767666576,1.19E-07,-7.86E-06,0.000180222,-0.001525866,0.002329222,-0.022637109,0.456021586,0.995745363,0.001334929,-0.091990005,2.366474381,-27.5204459,134.4618584,-167.8863013,16.09149639,0.571883958,1.06E-07,-7.39E-06,0.000196238,-0.002429069,0.013913994,-0.039674118,0.163808692,0.993555358
0.3,0.1,-0.1,6.69E-07,-4.38E-05,0.001043458,-0.010786957,0.045120524,-0.130181685,1.173308527,0.934768401,4.50E-10,-4.85E-09,-8.93E-07,3.05E-05,-0.000357969,0.00141699,3.03E-05,0.623530548,-3.81E-08,-7.76E-06,0.000519339,-0.010323209,0.072485467,-0.162298155,1.056494844,0.974125484,2.47E-06,-5.26E-05,-0.003158658,0.124479901,-1.494683416,5.820314249,0.845156342,0.627478903,0.001129337,-0.126053568,4.844379012,-81.75412368,592.4784625,-1360.492601,450.9851075,0.263841826,4.64E-08,-3.47E-06,9.65E-05,-0.001209257,0.006687909,-0.022776343,0.161803893,0.914610217
0.3,0.1,-0.133333333,8.15E-07,-5.72E-05,0.001503437,-0.017958587,0.094795089,-0.250396044,1.212169534,0.99550942,-9.68E-11,5.36E-09,-9.46E-08,3.46E-07,7.25E-06,-9.96E-05,0.000512114,0.954173182,1.43E-06,-0.000114794,0.003467169,-0.047699993,0.282703143,-0.563947294,1.165664353,0.868124031,-2.23E-07,1.78E-05,-0.00054513,0.007726417,-0.040356944,-0.12160441,1.491709748,0.997009055,0.00096496,-0.065540395,1.651625965,-18.58367592,84.89462167,-79.37165022,-3.638699487,0.646573195,9.49E-08,-6.91E-06,0.000188815,-0.002354636,0.0130785,-0.035286911,0.156768364,0.987584495
0.3,0.1,-0.166666667,8.00E-07,-5.55E-05,0.001432823,-0.016712032,0.085487578,-0.231223833,1.205053797,0.997110335,-6.77E-11,3.01E-09,-2.65E-08,-4.11E-07,7.10E-06,-4.06E-05,0.000220059,0.85617105,3.27E-06,-0.000238499,0.006539184,-0.081956403,0.445162909,-0.804190077,1.202342662,0.829756313,-1.11E-07,1.00E-05,-0.000343567,0.005332027,-0.030728943,-0.068342672,0.989596049,0.994426741,0.000236375,-0.014112924,0.283251186,-1.807478076,-5.848536415,76.82129134,-33.77995582,0.598922534,9.18E-08,-6.56E-06,0.000175306,-0.002129243,0.011479134,-0.031786198,0.151702879,0.992405502
0.3,0.15,-0.022222222,7.25E-07,-5.01E-05,0.001284176,-0.014810438,0.07483894,-0.215836743,1.201977204,0.997566118,6.21E-10,-4.70E-08,1.37E-06,-1.93E-05,0.000132567,-0.000408497,0.000540431,0.967324653,5.05E-06,-0.000359949,0.009641723,-0.117944211,0.625264541,-1.082897799,1.248724708,0.65204179,-3.46E-07,2.54E-05,-0.000693844,0.008181699,-0.025634674,-0.236739499,1.506494381,0.996669138,0.000276567,-0.01725593,0.374199465,-2.973789923,0.144650875,70.11958165,-33.13095306,0.671617523,8.55E-08,-6.03E-06,0.000158565,-0.001888035,0.009967449,-0.028909276,0.14848434,0.994881213
0.3,0.15,-0.044444444,5.55E-07,-3.81E-05,0.00096928,-0.01101132,0.055343363,-0.191119793,1.199834466,0.996839198,-1.21E-10,7.20E-09,-1.52E-07,1.36E-06,-4.67E-06,-3.43E-06,0.000113991,0.509173425,4.42E-06,-0.000304017,0.007771804,-0.089077817,0.425162181,-0.605873476,1.086610855,0.759469157,-1.16E-05,0.000842387,-0.023415306,0.30722136,-1.853398225,3.680789543,2.712992635,0.845853633,0.002448018,-0.163076377,3.989945849,-42.6219802,172.1450248,-54.56327046,-82.5514349,0.309371276,6.57E-08,-4.62E-06,0.000120631,-0.001420718,0.00750261,-0.025388091,0.146270109,0.994559122
0.3,0.15,-0.066666667,7.99E-07,-5.44E-05,0.001371335,-0.015379104,0.073517988,-0.192232217,1.194482648,0.994011662,-9.88E-09,7.42E-07,-2.15E-05,0.000297889,-0.001961405,0.004806526,0.000528609,0.648231447,7.52E-07,-5.83E-05,0.001684037,-0.021786492,0.115941884,-0.211945289,1.059669395,0.983741693,-3.87E-05,0.002901626,-0.083933263,1.161966631,-7.622491187,18.51310992,2.333649786,0.646175983,-6.96E-05,-0.009591445,0.728110236,-16.00571036,131.7445971,-302.3892459,103.0000694,0.661368824,3.94E-08,-3.02E-06,8.63E-05,-0.001116503,0.006457915,-0.021304658,0.133824007,0.921427156
0.3,0.15,-0.088888889,6.99E-07,-4.72E-05,0.001171033,-0.012820532,0.059395227,-0.17382108,1.189981866,0.993371742,-2.16E-10,1.54E-08,-4.31E-07,5.95E-06,-4.07E-05,9.62E-05,0.000207137,0.894155454,2.06E-06,-0.000152771,0.004256788,-0.053993589,0.294159588,-0.541016294,1.14310291,0.887692294,-1.62E-07,1.42E-05,-0.000475705,0.007261446,-0.042293054,-0.073007794,1.233765347,0.997718466,0.001337895,-0.097399609,2.676459133,-33.83467469,186.5250092,-309.044817,67.57446983,0.681047345,4.98E-08,-3.55E-06,9.48E-05,-0.001154167,0.006279701,-0.018860977,0.103868647,0.993443598
0.3,0.15,-0.111111111,6.51E-07,-4.35E-05,0.001064156,-0.01137113,0.050866947,-0.161931828,1.186573707,0.99328029,3.27E-10,-2.54E-08,7.57E-07,-1.08E-05,7.57E-05,-0.000245656,0.000425795,0.929898294,3.92E-06,-0.000280816,0.007552468,-0.092523696,0.488869775,-0.848795606,1.197002262,0.716819819,-1.64E-07,1.37E-05,-0.000436576,0.006290792,-0.03297829,-0.087769344,1.05468311,0.994823224,0.001639448,-0.115089807,3.024508518,-36.10015006,183.2734834,-256.2247834,34.95580828,0.467204198,4.88E-08,-3.40E-06,8.82E-05,-0.001035179,0.005391272,-0.016478737,0.09326662,0.993701415
