Length (m),Beam (m),Draft (m),a_surge,b_surge,c_surge,d_surge,e_surge,f_surge,g_surge,h_surge,i_surge,j_surge,r_squared_surge,a_sway,b_sway,c_sway,d_sway,e_sway,f_sway,g_sway,h_sway,i_sway,j_sway,r_squared_sway,a_heave,b_heave,c_heave,d_heave,e_heave,f_heave,g_heave,h_heave,i_heave,j_heave,r_squared_heave,a_roll,b_roll,c_roll,d_roll,e_roll,f_roll,g_roll,h_roll,i_roll,j_roll,r_squared_roll,a_pitch,b_pitch,c_pitch,d_pitch,e_pitch,f_pitch,g_pitch,h_pitch,i_pitch,j_pitch,r_squared_pitch,a_yaw,b_yaw,c_yaw,d_yaw,e_yaw,f_yaw,g_yaw,h_yaw,i_yaw,j_yaw,r_squared_yaw
0.3,0.1,-0.033333333,-2.08E-09,2.12E-07,-9.06E-06,0.000210796,-0.00292007,0.024711139,-0.125501223,0.350653147,-0.484731676,1.242850728,0.993458874,-2.36E-12,2.50E-10,-1.11E-08,2.70E-07,-3.88E-06,3.37E-05,-0.000172538,0.000487175,-0.000683727,0.000763016,0.989332862,-4.15E-09,4.38E-07,-1.92E-05,0.000451293,-0.006123777,0.048223975,-0.211071899,0.459899152,-0.384556682,1.044154957,0.991848585,-5.33E-10,5.34E-08,-2.21E-06,4.88E-05,-0.000620001,0.004538426,-0.017435922,0.021616158,-0.025962327,0.837124874,0.999904814,-1.39E-05,0.001356898,-0.054375051,1.150590728,-13.72658534,91.20897459,-313.3251651,484.7215182,-229.9413538,6.064179256,0.732810198,-1.51E-10,1.94E-08,-1.04E-06,2.97E-05,-0.000497246,0.004900734,-0.027340354,0.077922211,-0.098007561,0.179726754,0.922327793
0.3,0.1,-0.066666667,-9.78E-10,8.62E-08,-3.05E-06,5.60E-05,-0.000589702,0.004109698,-0.023658816,0.101697998,-0.261231496,1.217953806,0.996762808,-1.60E-12,1.68E-10,-7.34E-09,1.75E-07,-2.45E-06,2.06E-05,-0.000100921,0.000265933,-0.000323062,0.000331868,0.925035507,-1.96E-08,1.95E-06,-8.08E-05,0.00178082,-0.022534342,0.163871682,-0.651783996,1.268984057,-0.933470765,1.087667935,0.874181421,-4.35E-10,3.99E-08,-1.48E-06,2.84E-05,-0.000292833,0.001510461,-0.002193288,-0.012000433,0.009449327,0.44775682,0.99742973,6.93E-06,-0.000714204,0.030658307,-0.707879989,9.456909559,-72.96789969,304.758724,-592.0737196,422.8013218,-34.09733907,0.744417982,-1.91E-10,1.86E-08,-7.55E-07,1.69E-05,-0.000229715,0.001983695,-0.010913091,0.035526324,-0.062754312,0.167706817,0.996369011
0.3,0.1,-0.1,1.64E-09,-1.54E-07,5.79E-06,-0.000108957,0.000996774,-0.002468432,-0.024918517,0.175069795,-0.375392197,1.235227703,0.946352328,-2.14E-11,2.34E-09,-1.08E-07,2.74E-06,-4.11E-05,0.000370234,-0.001903957,0.004876673,-0.004265782,0.000936121,0.790974399,-5.66E-09,5.68E-07,-2.36E-05,0.000523899,-0.006662856,0.04876746,-0.196553552,0.391514059,-0.298249609,1.031922951,0.994822902,-9.11E-08,1.00E-05,-0.000463915,0.011791156,-0.177962242,1.610443476,-8.332964899,21.52263333,-19.31761598,4.885209172,0.801734394,-3.24E-05,0.003083358,-0.119911779,2.433798502,-27.26394469,162.5962509,-444.2095331,330.0251133,271.7316891,-87.55630116,0.397336061,1.36E-11,3.67E-09,-3.97E-07,1.54E-05,-0.000306196,0.003389246,-0.020759375,0.064405542,-0.088715195,0.172454828,0.930867359
0.3,0.1,-0.133333333,2.35E-10,-3.25E-08,1.74E-06,-4.67E-05,0.000669767,-0.004794692,0.011363773,0.030964012,-0.205060921,1.211875049,0.997435564,-2.24E-12,2.29E-10,-9.75E-09,2.24E-07,-2.99E-06,2.35E-05,-0.00010312,0.000233183,-0.000283977,0.000528302,0.969492552,-7.21E-09,6.61E-07,-2.43E-05,0.000450701,-0.004308298,0.017887375,-0.000639989,-0.171151883,0.277925457,0.960625812,0.928062438,5.82E-10,-6.91E-08,3.46E-06,-9.47E-05,0.001548174,-0.015389598,0.090597561,-0.279524748,0.154290119,1.444351603,0.998680661,4.69E-06,-0.000477082,0.0201292,-0.454442856,5.887170079,-43.41411805,168.3962055,-284.9713402,166.9543638,-8.697303235,0.84016479,-5.37E-10,5.30E-08,-2.18E-06,4.84E-05,-0.000630497,0.004929382,-0.022677667,0.05702879,-0.072002905,0.160617952,0.993954287
0.3,0.1,-0.166666667,2.46E-10,-2.97E-08,1.41E-06,-3.36E-05,0.000398386,-0.001712184,-0.007364923,0.085003612,-0.264406231,1.219198727,0.999263768,-6.92E-13,6.25E-11,-2.21E-09,3.76E-08,-2.67E-07,-3.98E-07,1.68E-05,-8.16E-05,0.000102843,0.000187088,0.919872092,6.63E-09,-7.83E-07,3.86E-05,-0.001028122,0.015953957,-0.144588794,0.724310899,-1.763787789,1.59633859,0.826678197,0.894111971,1.40E-09,-1.48E-07,6.54E-06,-0.000157536,0.002243167,-0.01922201,0.096732682,-0.258275273,0.156248336,0.958708374,0.996068711,-7.61E-08,2.04E-05,-0.001562189,0.056983251,-1.146469292,13.19725932,-83.90846532,257.8417171,-256.2851907,29.505016,0.845138883,-3.42E-10,3.37E-08,-1.39E-06,3.09E-05,-0.000407319,0.00326722,-0.015737316,0.042249419,-0.05949646,0.155183252,0.995383981
0.3,0.15,-0.022222222,1.10E-10,-1.43E-08,6.87E-07,-1.50E-05,0.000125559,0.000601924,-0.017841733,0.106022924,-0.280722069,1.220429882,0.999463529,-2.33E-13,1.76E-11,-4.65E-10,4.28E-09,6.75E-09,5.15E-08,-8.93E-06,9.77E-05,-0.000366413,0.000533711,0.971875409,2.03E-08,-2.21E-06,0.000100527,-0.002480773,0.035812746,-0.303496918,1.430993501,-3.302728324,2.850776345,0.702518409,0.740983283,1.86E-09,-1.97E-07,8.83E-06,-0.000216224,0.003156813,-0.027968146,0.145433074,-0.384456042,0.14002389,1.448841427,0.999009328,-2.90E-07,4.24E-05,-0.00250738,0.078913851,-1.444997519,15.62742006,-95.45735218,286.7791149,-282.0112836,31.88702501,0.868313644,-2.71E-10,2.67E-08,-1.10E-06,2.46E-05,-0.000327287,0.002666675,-0.013141825,0.036184502,-0.053592653,0.151863329,0.997114344
0.3,0.15,-0.044444444,-5.74E-10,5.56E-08,-2.28E-06,5.25E-05,-0.00075584,0.007140908,-0.043049122,0.145853838,-0.298462113,1.220192905,0.997911982,-1.19E-12,1.11E-10,-4.11E-09,7.71E-08,-7.29E-07,2.54E-06,8.33E-06,-8.08E-05,0.000141922,7.77E-05,0.683658643,2.40E-08,-2.49E-06,0.000107978,-0.002520316,0.03416466,-0.269256388,1.164751722,-2.422642197,1.858619065,0.833447564,0.851694492,-2.14E-08,2.10E-06,-8.43E-05,0.001766108,-0.01997584,0.106981649,-0.053323069,-1.785833743,4.645008335,2.330091686,0.889313277,9.63E-06,-0.000929896,0.036630688,-0.75036962,8.34377387,-46.06336448,73.23509322,262.3981664,-603.8326566,102.0510319,0.438825676,-2.85E-10,2.82E-08,-1.16E-06,2.59E-05,-0.00034154,0.002723432,-0.012879872,0.033376829,-0.048584202,0.14914246,0.996682117
0.3,0.15,-0.066666667,1.24E-09,-1.27E-07,5.36E-06,-0.000118384,0.001432737,-0.008816902,0.018346158,0.041344238,-0.229316034,1.217423595,0.999079365,-6.05E-11,6.28E-09,-2.72E-07,6.38E-06,-8.70E-05,0.000690618,-0.002971786,0.005634603,-0.002016351,0.001299957,0.731885423,-2.14E-09,1.96E-07,-7.18E-06,0.000132112,-0.001247571,0.005177641,-0.001967465,-0.03988419,0.066979461,0.993135069,0.993805147,-2.37E-07,2.47E-05,-0.001070646,0.025111582,-0.342962939,2.726729366,-11.77388694,22.52441366,-8.687422137,5.440083551,0.731519737,-8.80E-06,0.000871279,-0.035500651,0.765877772,-9.361018553,64.36179758,-233.9277099,401.8187636,-235.2581649,14.36220314,0.836554813,-4.44E-10,4.78E-08,-2.16E-06,5.27E-05,-0.000756543,0.006468396,-0.031795355,0.081362931,-0.09248514,0.142655923,0.936489363
0.3,0.15,-0.088888889,1.22E-09,-1.24E-07,5.19E-06,-0.000113035,0.001343967,-0.008037115,0.015294169,0.04347376,-0.229356168,1.215917163,0.99840113,-1.19E-12,1.15E-10,-4.49E-09,9.08E-08,-9.88E-07,5.13E-06,-4.00E-06,-6.71E-05,0.000184496,0.000180277,0.934933127,3.81E-10,-1.11E-07,8.34E-06,-0.000290326,0.005434385,-0.056509124,0.313348776,-0.824765354,0.794187301,0.910666703,0.928761549,1.01E-09,-1.10E-07,5.10E-06,-0.000128237,0.001913646,-0.017288806,0.092634919,-0.265604841,0.159126607,1.199591693,0.998966447,5.56E-06,-0.000601916,0.027312244,-0.67197856,9.668920514,-81.57529867,381.3203132,-861.6509781,734.813689,-75.21057769,0.813723887,-2.16E-11,2.09E-09,-8.60E-08,2.04E-06,-3.20E-05,0.000353053,-0.002587525,0.010625549,-0.024363807,0.104982127,0.993930938
0.3,0.15,-0.111111111,1.29E-09,-1.30E-07,5.34E-06,-0.000114205,0.001323567,-0.007564762,0.011910775,0.052638625,-0.241315962,1.217145139,0.998774611,-8.33E-13,7.85E-11,-3.02E-09,6.09E-08,-6.94E-07,4.63E-06,-2.00E-05,7.17E-05,-0.000211681,0.000414727,0.942115096,1.44E-08,-1.58E-06,7.28E-05,-0.001817734,0.026542506,-0.227399354,1.083351458,-2.527938974,2.207066586,0.768502007,0.792220564,1.37E-09,-1.45E-07,6.50E-06,-0.000158166,0.002281057,-0.01985877,0.101769653,-0.274940236,0.15611546,1.02012797,0.996556942,9.18E-06,-0.000955578,0.041474257,-0.970286928,13.17785645,-103.9366161,448.1132068,-915.0606607,690.1049848,-60.04260787,0.61119026,5.96E-11,-6.12E-09,2.58E-07,-5.67E-06,6.77E-05,-0.00039582,0.000541649,0.004011174,-0.018500435,0.094421567,0.995742164
