L1,L2,L3,AIC,MAE,RMSE,R2,Trainable Parameters,Div
256,256,256,22959.73244,3.352113075,27.65992015,0.561406362,16777234,2.45E-05
256,256,256,23012.23332,3.281468192,27.8708141,0.614151278,16777234,2.67E-05
256,256,256,23033.4258,3.286362028,27.95639833,0.573805598,16777234,2.49E-05
256,256,256,23079.99352,3.258188109,28.14538284,0.5518841,16777234,2.39E-05
256,256,256,23130.36148,3.306974838,28.35122822,0.609037948,16777234,2.63E-05
256,256,256,23132.73489,3.334952798,28.36096502,0.53547331,16777234,2.31E-05
256,256,256,23134.63529,3.357517502,28.36876369,0.557665282,16777234,2.41E-05
256,256,256,23136.82768,3.404093757,28.37776331,0.540939508,16777234,2.34E-05
256,256,256,23179.47006,3.368711699,28.55337611,0.548131701,16777234,2.36E-05
224,256,256,23002.94295,3.299891916,27.83337829,0.585584107,14680082,2.55E-05
224,256,256,23078.20476,3.292381623,28.13810002,0.548914603,14680082,2.38E-05
224,256,256,23101.33838,3.319362143,28.2324326,0.563495472,14680082,2.44E-05
224,256,256,23119.52641,3.409274971,28.30682039,0.530115533,14680082,2.29E-05
224,256,256,23137.08332,3.375944322,28.37881289,0.552614281,14680082,2.39E-05
224,256,256,23148.19759,3.310030356,28.42448178,0.583415382,14680082,2.52E-05
224,256,256,23148.60834,3.340369655,28.42617099,0.515549,14680082,2.23E-05
224,256,256,23152.55193,3.407336199,28.44239395,0.53166165,14680082,2.30E-05
224,256,256,23181.26002,3.341566787,28.5607714,0.514013256,14680082,2.22E-05
256,224,224,22983.29415,3.280360231,27.7543685,0.602133424,12845074,2.62E-05
256,224,224,22995.61423,3.26353044,27.8038825,0.575876439,12845074,2.50E-05
256,224,224,23066.23704,3.283465284,28.08942275,0.536960894,12845074,2.33E-05
256,224,224,23079.41288,3.363632841,28.1430186,0.5458351,12845074,2.37E-05
256,224,224,23089.04886,3.333722903,28.18227998,0.524031539,12845074,2.27E-05
256,224,224,23089.89096,3.304790708,28.18571371,0.566025854,12845074,2.45E-05
256,224,224,23102.79713,3.337020561,28.23839155,0.578425325,12845074,2.50E-05
256,224,224,23139.97562,3.33044957,28.39069038,0.576291429,12845074,2.49E-05
256,224,224,23176.79911,3.412561623,28.54234462,0.507533205,12845074,2.19E-05
192,256,256,23029.31232,3.271443323,27.93976581,0.60361113,12582930,2.62E-05
192,256,256,23037.46742,3.309703813,27.97274991,0.59603655,12582930,2.59E-05
192,256,256,23079.06756,3.325870971,28.14161265,0.60723439,12582930,2.63E-05
192,256,256,23111.50608,3.379315616,28.27399368,0.541509187,12582930,2.34E-05
192,256,256,23116.8762,3.359427348,28.29596904,0.567684182,12582930,2.46E-05
192,256,256,23121.21347,3.296805511,28.3137303,0.568247735,12582930,2.46E-05
192,256,256,23134.51656,3.412289371,28.36827642,0.545792734,12582930,2.36E-05
192,256,256,23167.15469,3.358522805,28.50254681,0.570528124,12582930,2.46E-05
192,256,256,23169.15723,3.372216654,28.51080572,0.582394825,12582930,2.51E-05
224,224,224,23011.34194,3.318985059,27.86722011,0.619865322,11239442,2.69E-05
224,224,224,23062.67031,3.267679632,28.07493179,0.556894003,11239442,2.41E-05
224,224,224,23084.74675,3.338389754,28.16474446,0.537024934,11239442,2.33E-05
224,224,224,23100.1855,3.341218938,28.22772398,0.593349767,11239442,2.57E-05
224,224,224,23125.39341,3.340103792,28.33085782,0.555540102,11239442,2.40E-05
224,224,224,23128.52821,3.354525896,28.34370964,0.521224689,11239442,2.25E-05
224,224,224,23139.44734,3.312198255,28.38852059,0.589883116,11239442,2.55E-05
224,224,224,23164.43026,3.40233465,28.49131446,0.542672947,11239442,2.34E-05
224,224,224,23219.98375,3.441049453,28.72122905,0.520553351,11239442,2.24E-05
160,256,256,23028.50444,3.281515412,27.93650037,0.593678498,10485778,2.58E-05
160,256,256,23056.24789,3.299816218,28.0488575,0.554282031,10485778,2.40E-05
160,256,256,23062.70406,3.328116204,28.07506884,0.574029209,10485778,2.49E-05
160,256,256,23065.8174,3.278584762,28.08771744,0.518583695,10485778,2.25E-05
160,256,256,23092.70986,3.32138691,28.19721093,0.566194169,10485778,2.45E-05
160,256,256,23095.18235,3.363238799,28.20729918,0.511485915,10485778,2.21E-05
160,256,256,23138.60487,3.343401575,28.38506063,0.539046284,10485778,2.33E-05
160,256,256,23155.10296,3.388445177,28.45289318,0.562717274,10485778,2.43E-05
160,256,256,23204.32432,3.446975496,28.65623357,0.540398254,10485778,2.33E-05
192,224,224,23010.83429,3.268120594,27.86517347,0.567265057,9633810,2.47E-05
192,224,224,23055.07491,3.338591746,28.04409795,0.55729718,9633810,2.42E-05
192,224,224,23064.65936,3.271413472,28.08301198,0.546210186,9633810,2.37E-05
192,224,224,23086.99041,3.360279014,28.17388833,0.58027106,9633810,2.51E-05
192,224,224,23109.60103,3.377326791,28.26620202,0.587784496,9633810,2.54E-05
192,224,224,23115.71473,3.317236262,28.29121468,0.564860226,9633810,2.44E-05
192,224,224,23117.17707,3.323548751,28.29720076,0.582106425,9633810,2.52E-05
192,224,224,23132.53678,3.373299368,28.36015213,0.523631337,9633810,2.26E-05
192,224,224,23134.67659,3.342911239,28.3689332,0.568467552,9633810,2.46E-05
256,192,192,22996.55637,3.272565319,27.80767257,0.564462563,9437202,2.45E-05
256,192,192,23041.52921,3.300078795,27.98919275,0.582982113,9437202,2.53E-05
256,192,192,23106.84458,3.329655498,28.25493193,0.53194794,9437202,2.30E-05
256,192,192,23113.00135,3.306679215,28.28011082,0.550845146,9437202,2.38E-05
256,192,192,23148.82027,3.424606134,28.42704257,0.54295663,9437202,2.35E-05
256,192,192,23156.64324,3.334398332,28.45923439,0.555676322,9437202,2.40E-05
256,192,192,23162.5545,3.371339981,28.48358363,0.555431679,9437202,2.40E-05
256,192,192,23179.12268,3.362121281,28.55194115,0.584403707,9437202,2.52E-05
256,192,192,23228.17834,3.452380127,28.75529998,0.498362141,9437202,2.15E-05
128,256,256,22974.49984,3.320642515,27.71907838,0.614410086,8388626,2.67E-05
128,256,256,23015.46636,3.411518648,27.88385356,0.569594737,8388626,2.47E-05
128,256,256,23050.36775,3.340094097,28.02500607,0.611987812,8388626,2.66E-05
128,256,256,23075.87898,3.337341665,28.12863362,0.574615505,8388626,2.49E-05
128,256,256,23113.01652,3.361415429,28.28017288,0.573557473,8388626,2.48E-05
128,256,256,23119.52046,3.346758121,28.30679602,0.564483882,8388626,2.44E-05
128,256,256,23192.04794,3.394781521,28.60538249,0.524000337,8388626,2.26E-05
128,256,256,23230.86263,3.434443962,28.76646934,0.528952298,8388626,2.28E-05
128,256,256,23239.08496,3.45573026,28.80070953,0.501088339,8388626,2.16E-05
224,192,192,23051.7777,3.297918978,28.03072336,0.550370342,8257554,2.39E-05
224,192,192,23062.76478,3.31552063,28.07531548,0.571559035,8257554,2.48E-05
224,192,192,23080.23267,3.28479736,28.14635668,0.551009655,8257554,2.39E-05
224,192,192,23115.06672,3.336850279,28.28856246,0.543251476,8257554,2.35E-05
