# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: wbnew
# Creation date: 09/29/2021 10:57:47
# 
# 09/29/2021 10:57:47
# The parameters defined in the project are:
# ,P1 - length [m],P2 - beam [m],P4 - center_l [m],P5 - center_y [m],P6 - Translate1.FD5 [m],P7 - wal_height [m],P8 - load,"P10 - Parameters vs Frequency Maximum Value (A5) (Line A: RAOs - Global Z, -180° (Part 2 - Center of Gravity relative to Origin of Fixed Reference Axes (FRA))) [m m^-1]","P9 - Parameters vs Frequency Abscissa Position of Maximum (A5) (Line A: RAOs - Global Z, -180° (Part 2 - Center of Gravity relative to Origin of Fixed Reference Axes (FRA))) [Hz]"
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P4,P5,P6,P7,P8,P10,P9
DP 0,0.7,0.3,-0.35,-0.15,-0.15,0.2,10,1.0005338191986084,0.015915002440705556
DP 1,0.7,0.3,-0.35,-0.15,-0.15,0.2,15,1.0005331039428711,0.015915002440705556
# 
# A non parametric change occurred and invalidated design point results.
# 10/01/2021 19:48:01
# 
# 
# A non parametric change occurred and invalidated design point results.
# 10/05/2021 08:09:29
# 
# 
# A non parametric change occurred and invalidated design point results.
# 10/06/2021 14:52:47
# 
# 
# A non parametric change occurred and invalidated design point results.
# 10/07/2021 08:06:00
# 
# 
# A non parametric change occurred and invalidated design point results.
# 10/07/2021 22:36:24
# 
# 
# A non parametric change occurred and invalidated design point results.
# 10/08/2021 10:02:02
# 
# 
# A non parametric change occurred and invalidated design point results.
# 10/08/2021 11:00:33
# 
